model,context_length,noise_ratio,entropy,correct
GPT2-Small,32,0.2,4.977206309636434,0
GPT2-Small,32,0.2,4.959011197090149,0
GPT2-Small,32,0.2,4.758419156074524,1
GPT2-Small,32,0.2,4.972033242384593,0
GPT2-Small,32,0.2,4.954389691352844,1
GPT2-Small,32,0.2,4.90458877881368,0
GPT2-Small,32,0.2,4.881436248620351,1
GPT2-Small,32,0.2,4.937122702598572,0
GPT2-Small,32,0.2,4.944356044133504,0
GPT2-Small,32,0.2,4.769063115119934,1
GPT2-Small,32,0.2,4.853321631749471,0
GPT2-Small,32,0.2,5.029507080713908,1
GPT2-Small,32,0.2,4.890526970227559,1
GPT2-Small,32,0.2,4.8688169320424395,0
GPT2-Small,32,0.2,5.034968276818593,0
GPT2-Small,32,0.2,5.051015456517537,1
GPT2-Small,32,0.2,4.918379545211792,0
GPT2-Small,32,0.2,5.034406979878743,0
GPT2-Small,32,0.2,4.819334387779236,0
GPT2-Small,32,0.2,4.948015491167705,1
GPT2-Small,32,0.2,4.912095030148824,0
GPT2-Small,32,0.2,4.967006623744965,0
GPT2-Small,32,0.2,4.882497429847717,1
GPT2-Small,32,0.2,4.964541792869568,0
GPT2-Small,32,0.2,4.9605008363723755,1
GPT2-Small,32,0.2,4.784467538197835,0
GPT2-Small,32,0.2,4.874463319778442,1
GPT2-Small,32,0.2,4.804722229639689,0
GPT2-Small,32,0.2,4.691127439339955,0
GPT2-Small,32,0.2,4.918749372164409,0
GPT2-Small,32,0.2,5.005945920944214,0
GPT2-Small,32,0.2,4.8875536521275835,0
GPT2-Small,32,0.2,5.025877436002095,1
GPT2-Small,32,0.2,4.932995637257894,0
GPT2-Small,32,0.2,4.821299691994985,0
GPT2-Small,32,0.2,5.119656602541606,0
GPT2-Small,32,0.2,4.8385553161303205,0
GPT2-Small,32,0.2,4.881831725438436,0
GPT2-Small,32,0.2,4.852093358834584,0
GPT2-Small,32,0.2,5.016226192315419,0
GPT2-Small,32,0.2,5.108375211556752,0
GPT2-Small,32,0.2,4.834476272265117,0
GPT2-Small,32,0.2,4.957232038180034,0
GPT2-Small,32,0.2,5.011498312155406,1
GPT2-Small,32,0.2,4.9283280571301775,0
GPT2-Small,32,0.2,5.004470507303874,1
GPT2-Small,32,0.2,4.937555372714996,0
GPT2-Small,32,0.2,4.812984764575958,0
GPT2-Small,32,0.2,4.889047185579936,0
GPT2-Small,32,0.2,5.055475056171417,1
GPT2-Small,32,0.2,4.94953312476476,0
GPT2-Small,32,0.2,4.855777303377788,0
GPT2-Small,32,0.2,4.836617151896159,1
GPT2-Small,32,0.2,4.91364328066508,0
GPT2-Small,32,0.2,5.028926134109497,0
GPT2-Small,32,0.2,4.873071650664012,1
GPT2-Small,32,0.2,4.926543116569519,1
GPT2-Small,32,0.2,5.073717951774597,0
GPT2-Small,32,0.2,5.1221603353818255,1
GPT2-Small,32,0.2,4.874120692412059,1
GPT2-Small,32,0.2,4.791315893332164,0
GPT2-Small,32,0.2,4.889081796010335,0
GPT2-Small,32,0.2,4.950745522975922,0
GPT2-Small,32,0.2,4.911480208237966,0
GPT2-Small,32,0.2,4.996632715066274,0
GPT2-Small,32,0.2,4.875825981299083,1
GPT2-Small,32,0.2,4.934989293416341,0
GPT2-Small,32,0.2,4.759138027826945,0
GPT2-Small,32,0.2,5.035573422908783,0
GPT2-Small,32,0.2,4.951758623123169,0
GPT2-Small,32,0.2,4.792439540227254,0
GPT2-Small,32,0.3,4.948064963022868,0
GPT2-Small,32,0.3,5.046640316645305,1
GPT2-Small,32,0.3,4.860978305339813,0
GPT2-Small,32,0.3,5.132442196210225,0
GPT2-Small,32,0.3,4.884481251239777,1
GPT2-Small,32,0.3,5.127185106277466,0
GPT2-Small,32,0.3,4.877098321914673,0
GPT2-Small,32,0.3,4.895793000857036,0
GPT2-Small,32,0.3,5.231282790501912,0
GPT2-Small,32,0.3,4.888475318749745,0
GPT2-Small,32,0.3,5.094566722710927,0
GPT2-Small,32,0.3,4.979039748509725,0
GPT2-Small,32,0.3,4.922135670979817,0
GPT2-Small,32,0.3,5.0273191928863525,1
GPT2-Small,32,0.3,4.950918873151143,0
GPT2-Small,32,0.3,5.055937767028809,0
GPT2-Small,32,0.3,5.008368094762166,0
GPT2-Small,32,0.3,4.934610386689504,1
GPT2-Small,32,0.3,5.073633472124736,0
GPT2-Small,32,0.3,5.040012578169505,1
GPT2-Small,32,0.3,5.106374541918437,0
GPT2-Small,32,0.3,5.091707030932109,0
GPT2-Small,32,0.3,4.913129309813182,0
GPT2-Small,32,0.3,4.924824039141337,0
GPT2-Small,32,0.3,4.925262153148651,0
GPT2-Small,32,0.3,4.883502244949341,0
GPT2-Small,32,0.3,4.968506813049316,0
GPT2-Small,32,0.3,5.021504243214925,0
GPT2-Small,32,0.3,5.051664471626282,0
GPT2-Small,32,0.3,5.178794304529826,0
GPT2-Small,32,0.3,5.158974448839824,0
GPT2-Small,32,0.3,5.071967720985413,0
GPT2-Small,32,0.3,5.059008936087291,0
GPT2-Small,32,0.3,5.126085519790649,1
GPT2-Small,32,0.3,5.168741464614868,0
GPT2-Small,32,0.3,5.121567904949188,0
GPT2-Small,32,0.3,5.087602535883586,0
GPT2-Small,32,0.3,4.8780695994695025,0
GPT2-Small,32,0.3,5.190999190012614,0
GPT2-Small,32,0.3,5.1580037871996565,0
GPT2-Small,32,0.3,4.941547234853108,0
GPT2-Small,32,0.3,4.991727630297343,0
GPT2-Small,32,0.3,4.79544057448705,0
GPT2-Small,32,0.3,5.096246858437856,0
GPT2-Small,32,0.3,4.894747634728749,0
GPT2-Small,32,0.3,5.059213201204936,0
GPT2-Small,32,0.3,4.923693656921387,0
GPT2-Small,32,0.3,5.179478446642558,0
GPT2-Small,32,0.3,5.023501714070638,0
GPT2-Small,32,0.3,5.134970823923747,0
GPT2-Small,32,0.3,4.888374328613281,0
GPT2-Small,32,0.3,5.042391777038574,0
GPT2-Small,32,0.3,4.6872843106587725,0
GPT2-Small,32,0.3,4.986216127872467,0
GPT2-Small,32,0.3,4.9636532465616865,1
GPT2-Small,32,0.3,5.100640853246053,0
GPT2-Small,32,0.3,4.867603838443756,0
GPT2-Small,32,0.3,4.963530699412028,0
GPT2-Small,32,0.3,5.006306727727254,0
GPT2-Small,32,0.3,5.030423084894816,1
GPT2-Small,32,0.3,5.045337200164795,0
GPT2-Small,32,0.3,5.12781023979187,0
GPT2-Small,32,0.3,5.055923541386922,0
GPT2-Small,32,0.3,4.84915276368459,0
GPT2-Small,32,0.3,4.987407088279724,0
GPT2-Small,32,0.3,4.963160236676534,0
GPT2-Small,32,0.3,5.217021107673645,0
GPT2-Small,32,0.3,4.9298175772031145,0
GPT2-Small,32,0.3,5.045111497243245,0
GPT2-Small,32,0.3,4.9903673728307085,0
GPT2-Small,32,0.3,4.989353060722351,0
GPT2-Small,32,0.3,5.0839190284411115,0
GPT2-Small,32,0.3,4.945370634396871,0
GPT2-Small,32,0.3,5.041106581687927,0
GPT2-Small,32,0.3,5.16545303662618,0
GPT2-Small,32,0.3,4.8955254554748535,1
GPT2-Small,32,0.3,5.198258697986603,0
GPT2-Small,32,0.3,5.1757307052612305,0
GPT2-Small,32,0.3,5.0067262053489685,1
GPT2-Small,32,0.3,5.208196500937144,0
GPT2-Small,32,0.3,5.215041200319926,0
GPT2-Small,32,0.3,4.948981046676636,0
GPT2-Small,32,0.3,5.087289373079936,0
GPT2-Small,32,0.3,5.057336727778117,0
GPT2-Small,32,0.3,4.839197496573131,1
GPT2-Small,32,0.3,4.886054774125417,0
GPT2-Small,32,0.3,5.057466626167297,0
GPT2-Small,32,0.3,5.022404472033183,0
GPT2-Small,32,0.3,4.846154471238454,0
